# Stars SQL Plaintext List
# TYPE CODES
PN    ---- Planetary Nebula
DN    ---- Diffuse Nebula
DC    ---- Diffuse Cluster
OC    ---- Open Cluster
GC    ---- Globular Cluster
GAL   ---- Galaxy
BIN   ---- Binary +

# COMMON           STD     TYPE     RA          DEC      EPOCH   flux  lastupdate     
Horsehead          NGC2023  DN   05:40:59.00 -02:27:30.0  2000  NONE      20180201
DoubleCluster      NGC869   OC   02:19:00.00 +57:07:41.9  2000  NONE      20180201
RosetteNebula      NGC2244  DN   06:31:55.01 +04:56:30.1  2000  NONE      20180201
Mizar/Alcor        BIN      BIN  13:23:55.54 +54:55:31.3  2000  NONE      20180201
Albireo                     BIN                                 NONE      20180201
Pleiades                    OC                                  NONE      20180201
Almaak                      BIN                                 NONE      20180201
SaturnNebula                PN                                  NONE      20180201
NGC288                      OC                                  NONE      20180201
Caldwell73         NGC1851  OC                                  NONE      20180201
SculpterGalaxy              GAL                                 NONE      20180201
NGC1672                                                         NONE      20180201
GhostofJupiter     NGC3242                                      NONE      20180201
CrabNebula         M1       PN   05:34:31.94 +22:00:52.2  2000  NONE      20180201
M2                 NGC7089  GC   21:33:27.02 -00:49:23.7  2000  V=6.25    20180201
M3                 NGC5272  GC   13:42:11.62 +28:22:38.2  2000  V=6.39    20180201
M4                 NGC6121  GC   16:23:35.22 -26:31:32.7  2000  K=2.32    20180201
M5                 NGC5904  GC   15:18:33.22 +02:04:51.7  2000  B=7.34    20180201
ButterflyCluster   M6       OC   17:40:20    -32:15.2     2000  B=4.48    20180201
PtolemysCluster    M7       OC   17:53:51    -34:47.6     2000  B=3.45    20180201
LagoonNebula       M8       DN   18:03:37    -24:23.2     2000  NONE      20180201
M9                 NGC6333  GC   17:19:11.78 -18:30:58.5  2000  B=9.36    20180201
M10                NGC6254  GC   16:57:09.05 -04:06:01.1  2000  V=4.98    20180201
WildDuckCluster    M11      OC   18:51:05    -06:16.2     2000  B=6.32    20180201
M12                NGC6218  GC   16:47:14.18 -01:56:54.7  2000  B=8.52    20180201
HerculesCluster    M13      GC   16:41:41.63 +36:27:40.75 2000  V=5.8     20180201
M14                NGC6402  GC   17:37:36.15 -03:14:45.3  2000  B=9.55    20180201
M15                NGC7078  GC   21:29:58.33 +12:10:01.2  2000  B=3       20180201
EagleNebula        M16      OC   18:18:48    -13:48.4     2000  B=6.58    20180201
SwanNebula         M17      OC   18:20:47    -16:10.3     2000  NONE      20180201
M18                NGC6613  OC   18:19:58    -17:06.1     2000  B=7.24    20180201
M19                NGC6273  GC   17:02:37.69 -26:16:04.6  2000  B=8.45    20180201
TrifidNebula       M20      OC   18:02:42    -22:58.3     2000  NONE      20180201
M21                NGC6531  OC   18:04:13    -22:29.4     2000  NONE      20180201
M22                NGC6656  GC   18:36:23.94 -23:54:17.1  2000  B=7.16    20180201
M23                NGC6494  OC   17:57:04    -18:59.1     2000  B=6.03    20180201
StarCloud          M24      DN   18:16.8     -18:33       2000  NONE      20180201
M25                IC4725   OC   18:31:47    -19:07.0     2000  B=5.29    20180201
M26                NGC6694  OC   18:45:18    -09:23.0     2000  B=8.0     20180201
DumbbellNebula     M27      PN   19:59:36.38 +22:43:15.75 2000  B=13.749  20180201
M28                NGC6626  GC   18:24:32.89 -24:52:11.4  2000  g=6.180   20180201
M29                NGC6913  OC   20:23:56    +38:31.4     2000  B=7.30    20180201
M30                NGC7099  GC   21:40:22.12 -23:10:47.5  2000  V=7.10    20180201
AndromedaGalaxy    M31      GAL  00:42:44.33 +41:16:07.50 2000  U=4.86    20180201
M32                NGC221   GAL  00:42:41.83 +40:51:54.61 2000  U=9.51    20180201
TriangulumGalaxy   M33      GAL  01:33:50.90 +30:39:35.79 2000  U=6.17    20180201
M34                NGC1039  OC   02:42:05    +42:45.7     2000  B=5.37    20180201
M35                NGC2168  OC   06:08:54    +24:20.0     2000  B=5.31    20180201
M36                NGC1960  OC   05:36:18    +34:08.4     2000  B=6.09    20180201
M37                NGC2099  OC   05:52:18    +32:33.2     2000  B=6.19    20180201
M38                NGC1912  OC   05:28:43    +35:51.3     2000  B=6.69    20180201
